Client / entity,Project name,Status,Platform & stack,Github ,Data sources,History used,No. Row,No. Features,Labels available,Feature extention applied,Feature selection applied,Features Removed,Time windows applied,Time windows used,Preprocessing applied,Segmentation applied,Number of segments,Train / test split,Model names,Models evaluated and rejected,No. Trained ,Hyperparameter tuning,Ensemble / aggregation,Explainability Method,Model Output,System Output ,Accuracy / performance ,Retraining frequency,Business High Level  Arch. (Graph),Project Challenges,Team Members,Unnamed: 32
Bank Muscat,Anomaly Detection (Meethaq),Production,"SAS Viya 3.5 (CAS) + Oracle 19c; SAS Model Studio, SAS Studio, Model Manager, Control-M",https://github.com/amralfayoumy/BM_AnomalyDetection,"Oracle FCFCORE2 (core banking), FCFKC2 (AGP / AML)","Rolling 24 months;
Train Mar 2024 - Sep 2025, Test Sep 2025 - Oct 2025",,108 engineered features,No labels (Unsupervised model),"Yes (108 engineered features across 7 dimensions; concentration burst ratio, daily aggregation, and income rank aligned)","Yes (Domain AML relevance, statistical variance, ethics/compliance, and multicollinearity reduction)","11 excluded: 4 demographic (gender, nationality, profession, marital status), 4 no usable data (account_value_volatility, cust_income_grp, num_dg, num_txn_exchange_house_1m), 2 redundant (active_months_ratio, relationship_age), 1 label-leakage risk (cnt_alert_source_scenario)",Yes,"1W, 1M, 3M, 6M; plus M-1 vs M-2, Q1 vs Q2, 3M vs 12M.","Mean/zero/median (constant 0; median for PARTY_AGE), ln(x+1) log-transformation (13 skewed monetary/count features), z-standardisation (68 continuous ratios/counts/Z-scores); macro build_dynamic_preprocessing","Yes, deterministic rule (Entity Type: Retail vs Corporate × History: Established vs New/Thin-File), not a clustering model","4 = IND, ORG, IND_NEW, ORG_NEW","Baesd on: Timeline 
(1 Month for evaluation)","Isolation Forest, SVDD, 
Robust PCA","Autoencoder: unstable scoring, excessive compute, high latency; Gradient Boosting surrogate models (rejected for explainability in favor of direct ASTORE Shapley extraction)","12 = (3 algorithms
 * 4 segments)",Partial - manual settings,"Based on weighted : 45% Iforest, 45% SVDD, 10% RPCA (Post Robust MAD scaling > 5.0, score capping at 10.0, Global Score 0–100, 3-tier triage T1/T2/T3, cross-split waterfall exclusion, post-aggregation dormancy suppression rule)",Direct ASTORE Multi-Method Consensus: Isolation Forest Shapley + SVDD Shapley + RPCA sparse residuals (45/45/10 weights) -> Consensus Top-5 driving features enriched with raw T and T-1 values and translated to plain text via Feature Dictionary,"Anomaly score per model (_Anomaly_, _SVDDDistance_, RPCA L2 norm), MAD-scaled scores, Global Score (0–100), Triage Tier (T1, T2, T3), and Consensus Top-5 driving features","One text alert row per client (party) with Global Score 0–100 and top-5 explained drivers pushed to AGP / AML UI (Scenario: SASAD100, Queue: VML), plus SAS CAS tables and Model Manager project",N/A - No Labels (Unsupervised model; calibrated to ~2% anomaly rate per split at P98 threshold; multi-model consensus and dormancy suppression reduce false positives; weekly execution SLA < 4 hours),3 Months,,,"Amr Alfayoumy,
Udita Das,
Mohamed Saber ",
,Anomaly Detection (Conventional),In Progress,"SAS Viya 3.5 (CAS) + Oracle 19c; SAS Model Studio, SAS Studio, Model Manager, Control-M",https://github.com/amralfayoumy/BM_AnomalyDetection/tree/conventional,"Oracle Core Banking, AGP / AML","Rolling 6 months; Train Jun 2025 - Nov 2025, Test Dec 2025 - Jan 2026",,108 engineered features,No labels (Unsupervised model),"Yes (108 engineered features across 7 dimensions; concentration burst ratio, daily aggregation, and income rank aligned)","Yes (Domain AML relevance, statistical variance, ethics/compliance, and multicollinearity reduction)","11 excluded: 4 demographic (gender, nationality, profession, marital status), 4 no usable data (account_value_volatility, cust_income_grp, num_dg, num_txn_exchange_house_1m), 2 redundant (active_months_ratio, relationship_age), 1 label-leakage risk (cnt_alert_source_scenario)",Yes,TBA,TBA,"Yes, deterministic rule (Entity Type: Retail vs Corporate × History: Established vs New/Thin-File), not a clustering model","4 = IND, ORG, IND_NEW, ORG_NEW",Based on: Timeline / Out-of-Time within available 180-day window,"Isolation Forest, SVDD","Autoencoder: unstable scoring, excessive compute, high latency; Gradient Boosting surrogate models (rejected for explainability in favor of direct ASTORE Shapley extraction)",8 = (2 algorithms × 4 segments),TBA,TBA,TBA,"Anomaly score per model (_Anomaly_, _SVDDDistance_), MAD-scaled scores, Global Score (0–100), Triage Tier (T1, T2, T3), and Consensus Top-5 driving features","One text alert row per client (party) with Global Score 0–100 and top-5 explained drivers pushed to AGP / AML UI (Scenario: SASAD100, Queue: VML), plus SAS CAS tables and Model Manager project",TBA,1 Month,,,"Amr Alfayoumy,
Udita Das,
Mohamed Saber ",In Progress
,Segmentation ,Production,"SAS Viya 3.5 (CAS) + Oracle 19c; SAS Model Studio, SAS Studio, Model Manager, Control-M",,"Oracle Core Banking, AGP / AML",Rolling 12 months; Train Oct 2024 - Sep 2025 . 1 month Score,,41 features,No labels,Yes ,Yes ,"12 features for Organisation
 9 features for individual",Yes,,"Yes
Preprocessing applied on sql and transformation  - 1.Log10 for interval features
2. Bin rare nominal levels for class Features","Yes, Entity Type: Retail vs Corporate ","4= Individual
2= Corporate",Based on Timeline . Train 12 month . 1 month scoring ,K-Prototype,"Algorithm	K-Prototype
Distance for Interval Featires	Eucleadin
Distance for Class Features	Binary
Transformation	None
Number of Features used	22
Number of clusters	4
Cluster Selection Method	ABC Statistic


Algorithm	K-Prototype
Distance for Interval Featires	Eucleadin
Distance for Class Features	Binary
Transformation	Best for interval features
Transformation	Bin rare nominal levels for class Features
Number of Features used	24
Number of clusters	4
Cluster Selection Method	ABC Statistic
","3 branches trained for Indv
3 branches trained for ORG","No of cluster= 4 for Indv
No of cluster=2 for ORG",,,,,"	Strength & Maintenability							
Measure Type	Measure							Branch1	Branch2	Branch3				
Compactness		Input (Log(WSSE)) at selected K	 33.7451	29.5571	18.7882		lower is Better		
Separatedness	Average Distance between clusters 3.245395	4.296307 6.421078		Higher is Better		
Maintenance	Number of Variables						31		33			32		lower is Better		
SAS Recommended Champion	Branch3						

",6 Month,,,"Amr Alfayoumy,
Udita Das,
Mohamed Saber ",Production
Mobily,Customer Network Influence (SNA),Production,"Dataiku DSS, Teradata, Python (NetworKit 11.2), K8s (20 pods), TPT",https://github.com/amralfayoumy/Mobily_DKU.git (main),Teradata SQL Database + Legacy SAS,1 month CDRs (local voice calls & SMS) + OOT (202510-12),300M+ edges; 30M+ nodes; 5M+ influencers; 1M+ communities,11 graph schema inputs (produces 6 centrality/community KPIs),Unsupervised: None (outputs centrality metrics & community IDs),"Out-Degree, In-Degree, Weighted Influence (DUR sum), Community ID, Size","Local voice filter, duration thresholds, singleton community prevention","Mobily staff lines, zero-duration/failed calls, international CDRs",Monthly rolling window,1 calendar month snapshot,"SQL degree aggregation, node index mapping (PKL), NetworKit binary (NKBG)",Yes (Network communities <=100 nodes; Prepaid/Postpaid/Competitor),"Thousands of communities (avg ~23 nodes, median 16-17 nodes)",N/A (Full graph structural analysis; validated vs SAS baseline),NetworKit Centrality (Out-Degree/Weighted) + Parallel Louvain (PLM),"Dataiku Graph Plugin, NetworkX, igraph, Spark GraphFrames",1 graph pipeline (Global PLM + 20-pod K8s recursive splitting) monthly,"Resolution gamma=1.0, balanced PLM, max_comm_size=100, singleton prevention",Multi-stage: Global PLM -> K8s recursive Louvain on clusters >100 -> TPT export,"Graph topology, degree distribution, power-law curves, community size histograms","Out-Degree, In-Degree, Weighted Influence, Total Degree, Community ID, Size","CVM_SNA_USER_COMM (Community Assignments), CVM_SNA_RESULT (Influencer Metrics)",>99.9% match rate vs SAS on 5M influencers; exact Mega-Community match (17.1K DKU vs 17.7K SAS),"Monthly run (7th of month, SLA ~1.5 hours)",,,,
,Credit Risk (Device Financing Default),Production,"Dataiku DSS, Teradata, Python (LightGBM, XGBoost), SAS Viya",https://github.com/amralfayoumy/Mobily_DKU.git (main),Teradata SQL Database + Legacy SAS,7M lookback (202301-07); 90d active; tenure >= 6m + OOT (202504-06),2.65M raw; no downsampling; 2.32M train; 332K test ,"184 total (162 active in v1, 106 active in v2)",Binary: Device default flag (1/0); past defaulters excluded,"SNA graph features (groups_sna3), handset map, delta-ARPU, WoE","IV, correlation filter, monotonic risk constraints on ARPU",22 rejected in v1; 77 rejected in v2 (rental/presentation features purged),"Train (7M), Holdout (1M), OOT Test (3 months), 24M default window","Train: 202301-07; Holdout: 202308; OOT: 202504, 202505, 202506","Median/Mean imputation, categorical tokening, PiT target mapping, monotonic constraints","Yes (4 risk tiers: VLR, LR, HR, VHR via groups_sna3 & decision trees)",4 risk segments; 2 model regimes (Behavioral vs Origination),"Temporal OOT: Train (202301-07), Holdout (202308), Test (202504-06)",Champion: Ens2_v1 (LightGBM + XGBoost),"SAS autotuned GB, Decision Trees, Random Forest, single LightGBM, constrained Ens2_v2",4 candidate model families evaluated across multiple OOT periods,Bayesian/Grid search in Dataiku optimizing AUC and Lift @ 10%,Probability averaging of LightGBM + XGBoost,"TreeSHAP, Global/Local Feature Importance, Partial Dependence Plots (PDP)","Default probability score [0, 1]","DP_AIML.CVM_CR_RESULT (Score, Deciles 1-10, High/Low Flags, Defaulters Report)","OOT 202506: AUC = 0.7505, Gini = 0.5135, KS = 0.3999, Lift @ 10% = 4.00x (vs SAS: AUC 0.6590, Lift 0.40x)","Monthly scoring (14th at 23:00); drift triggers (DATA_DRIFT_CHECK, CONCEPT_DRIFT_CHECK)",,,,
,Pre2Post (Migration Propensity),Production,"Dataiku DSS, Teradata, Python (LightGBM, GBT, RF), SAS Viya",https://github.com/amralfayoumy/Mobily_DKU.git (main) ,Teradata SQL Database + Legacy SAS,8M lookback (202402-09); 90d active; tenure >= 6m + OOT (202412),56.2M raw; 414K downsampled train; 7.08M monthly scoring,"245 total (226 active, 19 rejected)","Binary: mig (1 = migrated to postpaid in 30d, 0 = remained prepaid)","SMS activity bins, digital recharge revenue, behavioral groups, days to churn, WoE","IV, correlation filter, 4% downsampling optimization, feature stability",19 rejected; Hajj/Umrah plans; existing postpaid ID lines; >40% missing fields,"Train (8M), Holdout (2M: Oct & Dec 2024), 30d forward prediction",Train: Feb-Sep 2024; Holdout: Oct & Dec 2024; 30d horizon,"4% negative downsampling (0.1% -> 15.2%), MSISDN dedup, WoE/Target encoding","Yes (5 behavioral groups, 2 nationality segments: Saudi/IQAMA vs Visitor)",5 behavioral groups; 2 nationality segments; 3 propensity tiers,"Temporal OOT: Train (Feb-Sep 2024), Test (Oct & Dec 2024)",Champion: mig_prediction (Ensemble of GBT + Random Forest + LightGBM),"Logistic Regression, standalone DT/RF/XGB/LGBM, 5-model ensemble (pruned to 3)",5 base models + 4 ensemble variations across holdout sets,Bayesian/Grid search in Dataiku optimizing AUC and Lift @ 10%,Probability averaging of GBT + RF + LightGBM; threshold tuned via Youden J / F1,"TreeSHAP, partial dependence (digital recharge revenue, SMS days), ventile lift","Migration propensity probability score [0, 1]","DP_AIML.CVM_PRE2POST_RESULT (Score, Deciles 1-10, High/Med/Low Tiers)","Dec 2024 Holdout: AUC = 0.793, Lift @ 10% = 3.35x, F1 = 0.011 (vs SAS: AUC 0.776, Lift 3.05x, F1 0.010)","Monthly scoring (26th of month, SLA ~4 hours); drift triggers (DATA_DRIFT_CHECK, CONCEPT_DRIFT_CHECK)",,,,
HALA ,Behavioral Fraud Detection & Risk Scoring (SFM Integration),Production,"Linux, Docker, Python, Oracle 19c, PL/SQL, Airflow, SAS SFM 6.1 / ODE","https://github.com/amralfayoumy/Hala_Fraud.git

https://github.com/amralfayoumy/Hala-SPs.git","Oracle Core DB (FCM_CSNM, FCM_CCBF, FCM_CSBF, FCM_CCNM), Registration, Alerts & Suspicious/Fraud Lists",15-month training span; 24-hour scoring lookback; 60-day inactivity horizon,"101,363 train (81,089 fit / 20,274 test); ~12k–63k per hourly scoring batch",72 view cols; 52 ML inputs; 53 supervised inputs (incl. anomaly score); 39 API output cols,"Binary FRAUD (1=Confirmed Fraud, 0=Legitimate) & SUSPICIOUS (weighted 0.6)","Yes (Deviations, 30s velocities, 30m new-device transfers, identity sharing, takeover flags, anomaly score)","Yes (Blacklist leakage exclusion, 22 policy-safe monotonic constraints, P90/P95/P99 rule bins, top 5 SHAP)","19 features (Account ID, timestamps, target labels, direct fraud & suspicious blacklist matches)","30s, 30m, 24h, 7d, 14d, 30d, 60d, 90d, 180d, account lifetime","24-hour fixed rolling window (scoring), 30s/30m micro-windows, 60-day NSD horizon, 7-day fraud lookback","Zero-imputation, log1p on skewed features, RobustScaler on count/continuous features, regex string cleaning",No model-level segmentation (unified model); 4 downstream operational risk tiers,"1 model segment; 4 operational tiers (LOW, MEDIUM, HIGH, NSD)",80% Train / 20% Test Out-of-Time Temporal Holdout (with 4-fold rolling temporal CV),Isolation Forest (Anomaly) + Monotonically-Constrained XGBoost (Supervised) + Dynamic Rule Engine,18 Isolation Forest configs (17 rejected); 10 XGBoost regimes (43 full constraints & weights 0.4–0.8 rejected),"~1,630 models trained (>420 configurations across HPO and CV folds)","Randomized search with 4-fold rolling temporal CV & early stopping (Tuned depth, lr, subsample, weights)",Sequential Stacking (Anomaly into XGBoost) + Percentile Blend (60% ML / 40% Rule) + Hard Policy Floors & Uplifts,Tree SHAP (top positive contributors) mapped to Top 5 SAS LoV codes (MLTOPPARAMETER1–5),"Anomaly score [0,1], Fraud probability [0,1], Calibrated ML percentile (0–100), Binary prediction (0/1)","BEHAVIORAL_SCORES table: Score (0–100, -1 for NSD), Risk Tier (Low/Med/High/NSD), 29 flags, 5 LoV codes","Holdout ROC-AUC: 89.55%, PR-AUC: 17.44%, Decile 1 Lift: 8.82x, Recall: 29.41%, Runtime: 15–28 min (within 60m SLA)",Quarterly (Every 3 months automated retraining in Staging with PSI drift gates),,,"Amr Alfayoumy,
Salma Hayek,
Yousef Shindy ",
,Onboarding Fraud Risk Scoring and Real-Time Decision Service (Rule Engine + ML Model + Block-Flag Override),Production,"Linux, Docker, Python, Oracle 19c, PL/SQL,",https://github.com/yousef-shindy/Hala-Onboarding.git,"Oracle SCORED_USER schema: VW_FRAUD_ENITITIES, VW_SUSPICIOUS_ENTITIES (HALA manual-input watchlists), DIM_CUSTOMER_PROFILE (identity graph, refreshed every 1h from SCORING.FCM_CSNM ONRG_OA / ONRG_KYC), CITY_SCORE, ENTITY_TYPE, NATIONALITIES lookups. Training: static CSV snapshot (Customer_Datav2.csv, Registration_IP_DEVICE.csv) + FraudEntities_110326.xlsx labels",static entity-master snapshot,"543,370 rows","ML: 15 model inputs. Rules: 6 scoring rules. Block layer: 22 flags (7 fraud, 7 suspicious, 7 shared-identity, 1 geo mismatch)","Binary FRAUD (1=Confirmed Fraud, 0=Legitimate) & SUSPICIOUS","Yes: reference-table risk scores (city, nationality, customer type, channel), frequency encodings (city_freq, nationality_freq), identity-graph cross-parent counts (email, IP, device, mobile, national ID, CRN), reverse-geocoded geo_mismatch, latenight (00:00 to 05:59), is_foreign_ip",,,For Flags: 30-day shared-identity look-back; all-time cross-parent counts; relationship-length bands at 30 and 730 days; latenight hour band 0 to 5,Real-time request scoring; 30-day and all-time graph windows; 30 / 730 day tenure bands,"Defaults instead of nulls (city_score 3, others 0, unknown nationality frequency), lowercase identifier matching, empty values normalized to a sentinel and excluded, exclusion of two shared default device IDs, Arabic-then-English city matching, entity type parsed as ENTITYTYPE_ID-COMPANYFORM_ID-CHARACTER_ID",No model-level segmentation (single unified model). Downstream action bands only,1 model; 3 actions (Approve / Under Review / Block),80% Train / 20% Test,"ML: CatBoostClassifier(""Original + class_weight""). Rule-based: 6-rule engine normalized to 0 to 100, plus deterministic block-flag override",,,,"Weighted blend: Final = 0.20 x Rule Score + 0.80 x ML Score, clamped 0 to 100. Any of 22 block flags forces Block (score not altered). ML failure falls back to rules-only",,"ML: fraud probability [0,1], ML score 0 to 100. Rules: 6 sub-scores (1 to 3, channel 1 to 2), normalized rule score 0 to 100, is_blocked, triggered_flags","Synchronous JSON response from POST /api/v1/predict: riskScore (0 to 100), riskAction (Approve < 30, Under Review 30 to 75, Block >= 75 or flag), 22 binary indicators, 4 echoed identifiers.",,Quarterly (Every 3 months automated retraining in Staging),,,"Yousef Shindy,
Salma Hayek,
Amr Alfayoumy ",
NBB - Yorgo,AML Chatbot / AI Investigator,In Progress,"AWS VM, Python, FastAPI, Uvicorn, PostgreSQL, psycopg, LLM-generated SQL; AWS Bedrock planned",https://github.com/Jreige-Finianos/NBB-Chatbot,"SAS AML / SAS Viya + PostgreSQL AML DB (cash flow, party, account, transaction, transaction type, external party, bank, branch, party-account data)","	Yes – historical transactions, customer/account activity and AML cases/alerts",Not finalized,,,,,,Yes – query/use-case dependent,Variable / not finalized,"Yes – party resolution, SQL filtering, joins, aggregation, DB selection and read-only SQL validation",,,,"LLM for NL-to-SQL / investigation; OpenAI currently used in implementation, AWS Bedrock planned",,,,,Evidence-based response with underlying transaction/customer/alert data and historical comparison;,Generated SQL + retrieved AML data + generated investigation narrative,"Preliminary AML investigation response, risk indicators, historical comparison, supporting evidence and recommended next investigation steps",,,,Performance and scalability of large-data queries; data quality and incomplete records; availability of source tables; reliable entity resolution; maintaining accurate SQL generation across different AML use cases.,"Yorgo Issa, 
Jreige Finianos",
CRDB - Amr,CRDB Fraud Detection,In UAT / SIT Completed (Awaiting Bank OOT Dataset & Pre-Load Parity Verification),SAS Viya 3.5 (CAS / PROC FOREST) & Oracle DWH & SAS Fraud Management (SFM 6.1 ODE),https://github.com/amralfayoumy/CRDB_Anomaly.git,Core Banking Oracle DWH + 17 SFM APIs,"~1-2 years historical data up to 2025-08-31; reduced to 3 months due to storage constraints; OOT test window: April 1 – May 30, 2026 (30d warm-up + 30d evaluation)","70M+ total rows; 11,565,081 Viya test rows; 30,076 Viya train rows; 352,420 SFM OOF evaluation rows",73 features in Viya Hybrid Model; 36 features in SFM 6.1 production release contract,"Binary FRAUD_LABEL (1 = confirmed fraud from STG_POSITIVEFRAUD, 0 = legitimate); ~1,719 confirmed frauds across 70M rows (0.0015% test prevalence)","Rolling counts/velocities (24h/7d/30d), Z-scores, MAD scores, ratios to 7d/30d/90d averages & max, cyclical trigonometric sin/cos (hour/day/month/minute), net flows (24h/7d/30d), channel/currency shares & novelty flags, time-of-day risk, interarrival gaps, ledger-flattened splits, Isolation Forest anomaly scores","Removal of prior-fraud leakage features, removal of duplicate aliases, variable importance (IGR) filtering, SFM real-time API reconstructibility & latency gating","TXN_NATIVE_TO_USD_RATIO removed from Viya model; 41 features removed in SFM production transition (2 Isolation Forest outputs, 9 currency/FX, 4 demographic, 17 ledger/balance, 4 fee/principal, 5 runtime/90d)","5m, 15m, 1h, 24h, 7d, 30d, 90d, 180d, 365d","24 hours, 7 days, 30 days (plus <5 min burst and >7d decay in real-time signatures)","Median imputation for balance deltas & FX ratios, missingness indicator flags (MISS_*), NVL zero-coalescing, log(1+x)/signed-log/sqrt transforms, P25/P50/P75 robust scaling, sin/cos cyclical encoding, outlier preservation",Single global retail transaction model across 17 approved SFM APIs; non-retail/back-office RDS channels filtered out,1,Viya: 85:15 chronological split with 20:1 negative undersampling in train; SFM: 5-fold customer-disjoint nested cross-validation (OOF),Stage 1: Isolation Forest (IFOREST_FINAL_MDL_INPUT_ASTORE); Stage 2: Supervised Hybrid Random Forest (HYBRID_FOREST_FRAUD_ASTORE); SFM Deployed: CRDBHYB_0102,"Two-stage Hybrid (IF+RF) rejected for real-time SFM ODE due to runtime limitations; Baseline RF with FX ratio rejected; Gradient Boosting (PROC GRADBOOST) rejected due to extreme 40,000:1 imbalance overfitting; 72 Viya grid candidates; 40 SFM nested candidates; SVDD / Linear models",72 models in Viya tuning grid + 40 models across outer/inner folds in SFM nested CV (>115+ total models trained),"Grid search over ntrees (100, 150), maxdepth (12, 16, 20), minleafsize (5, 20, 50, 100), inbagfraction (0.45, 0.60), numbin (32, 50); Viya final: 100 trees, depth 20, leaf 20, inbag 0.60, 32 bins; SFM final: 150 trees, depth 20, leaf 5, inbag 0.60, 50 bins",Random Forest bagging of 100–150 decision trees; Stage-1 Isolation Forest model stacking; tree probability averaging,Viya CAS: HyperSHAP at depth 1 (70% Shapley attribution + 30% MAD behavioral deviation) mapped to Top-5 Reason Codes (hybrid_forest_reason_lov.sas); SFM ODE: Global IGR importance (synchronous SHAP deferred post-UAT),"Continuous fraud probability / ranking score FRAUD_PROB (0.0000 to 1.0000) / scaled integer score (0 to 1000, registered as rrr_score_1)","Threshold-driven alert queue (0.20 or 0.60/0.70/0.80 cutoff or top 0.5%/1.0% review); SFM queue 50201 routing; TRACE codes (0000, 3003, 1004); Top-5 Reason Codes (MLTOPPARAMETER1-5)","Viya Holdout (11.5M rows / 178 frauds): ROC AUC = 0.9955, Top 0.5% Capture = 87.64%, Top 1.0% Capture = 93.82%, Top 5.0% Capture = 97.75%, Decile 1 Capture = 99.44%; SFM 5-Fold OOF:",,,,,
